phone,active_use_score,company,year_of_release
vivo V29 Pro,12:07h,vivo,2023
Samsung Galaxy S24,12:06h,Samsung,2024
Honor Magic5 Pro,12:06h,Honor,2023
Motorola Razr 50 Ultra,12:05h,Motorola,2024
Samsung Galaxy Z Fold5,12:01h,Samsung,2023
Motorola Edge 50 Pro,11:59h,Motorola,2024
OnePlus Open,11:59h,OnePlus,2023
Xiaomi Mix Flip,11:58h,Xiaomi,2024
Motorola Moto G Power (2025),11:56h,Motorola,2025
Tecno Spark 20 Pro+,11:56h,Tecno,2024
Google Pixel 9 Pro Fold,11:54h,Google,2024
Apple iPhone 16e,11:53h,Apple,2024
Xiaomi Redmi Note 13 4G,11:52h,Xiaomi,2023
Xiaomi Poco F5,11:52h,Xiaomi,2023
Xiaomi Redmi Note 14 5G (Global),11:50h,Xiaomi,2024
Xiaomi 13T Pro,11:50h,Xiaomi,2023
Samsung Galaxy S24 FE,11:48h,Samsung,2024
Motorola Razr 50,11:46h,Motorola,2024
Xiaomi Poco M6 Pro 4G,11:46h,Xiaomi,2024
Xiaomi Poco X6 Pro,11:46h,Xiaomi,2024
Xiaomi Redmi Note 14 Pro 5G (Global),11:39h,Xiaomi,2024
Samsung Galaxy A36,11:38h,Samsung,2025
Tecno Phantom V Flip2,11:37h,Tecno,2024
Xiaomi 14 Civi,11:36h,Xiaomi,2024
Xiaomi Redmi Note 13 Pro 4G,11:36h,Xiaomi,2023
Oppo Find N3,11:36h,Oppo,2023
Xiaomi 14T,11:32h,Xiaomi,2024
Samsung Galaxy A05s,11:32h,Samsung,2023
Samsung Galaxy Z Fold6,11:31h,Samsung,2024
Xiaomi Poco C65,11:31h,Xiaomi,2023
Samsung Galaxy S23,11:27h,Samsung,2023
Infinix Note 50 Pro 4G,11:26h,Infinix,2024
Google Pixel 8a,11:25h,Google,2024
Xiaomi 14 Ultra,11:25h,Xiaomi,2024
Infinix Note 50 Pro+,11:21h,Infinix,2024
Google Pixel 8,11:17h,Google,2023
Samsung Galaxy A54,11:15h,Samsung,2023
Xiaomi Pad 6S Pro 12.4,11:14h,Xiaomi,2024
Google Pixel 8 Pro,11:14h,Google,2023
Honor 200 Pro,11:08h,Honor,2024
Xiaomi Poco X7,11:07h,Xiaomi,2024
Oppo Reno10 Pro,11:05h,Oppo,2023
OnePlus 11,11:05h,OnePlus,2023
Samsung Galaxy Tab S9 Ultra,11:03h,Samsung,2023
Infinix Zero Flip,11:01h,Infinix,2024
Xiaomi Redmi Note 12,10:58h,Xiaomi,2023
Xiaomi 13 Pro,10:55h,Xiaomi,2023
Infinix Hot 50 Pro+ 4G,10:54h,Infinix,2024
ZTE nubia Red Magic Nova,10:51h,ZTE,2024
OnePlus Pad 2,10:51h,OnePlus,2023
HMD Skyline,10:47h,HMD,2024
Samsung Galaxy A26,10:44h,Samsung,2024
Xiaomi Redmi Note 14 Pro+ 5G (Global),10:40h,Xiaomi,2025
Xiaomi Redmi Note 13 Pro+,10:38h,Xiaomi,2023
Xiaomi Redmi Note 12 Pro+,10:38h,Xiaomi,2022
Xiaomi Poco F6,10:36h,Xiaomi,2024
Huawei Mate 50 Pro,10:36h,Huawei,2022
Samsung Galaxy Z Flip6,10:35h,Samsung,2024
Honor Magic V2,10:35h,Honor,2024
Xiaomi Poco F6 Pro,10:29h,Xiaomi,2024
Xiaomi Redmi 13,10:28h,Xiaomi,2024
Motorola Edge 40 Neo,10:28h,Motorola,2023
Honor 90,10:28h,Honor,2023
Samsung Galaxy A25,10:19h,Samsung,2023
Xiaomi Redmi Note 13 Pro,10:16h,Xiaomi,2023
Xiaomi Poco X6,10:11h,Xiaomi,2024
Xiaomi 13 Ultra,10:09h,Xiaomi,2023
Honor Magic V3,10:05h,Honor,2024
Motorola Edge 50,9:56h,Motorola,2024
Xiaomi Redmi Note 13,9:49h,Xiaomi,2023
Honor MagicPad 2 12.3,9:42h,Honor,2024
Xiaomi Pad 6,9:39h,Xiaomi,2023
Xiaomi Redmi Pad Pro,9:36h,Xiaomi,2024
Tecno Phantom V Fold2,9:34h,Tecno,2024
Samsung Galaxy Z Flip5,9:29h,Samsung,2023
Honor Pad 9,9:18h,Honor,2024
Xiaomi Poco Pad,9:15h,Xiaomi,2024
Huawei Mate X6,8:56h,Huawei,2023
Samsung Galaxy S23 FE,8:28h,Samsung,2023
Huawei MatePad Pro 13.2,8:15h,Huawei,2023
Huawei Mate XT Ultimate,7:48h,Huawei,2024
